name,address,city,country,phone,email,star_rating,property_type,price_per_night,image_url,amenities,description
Art Nouveau Galata - Deluxe Suite with Balcony,"Şişhane, Istanbul",Istanbul,Turkey,+1 000-555-1011,reservations@art-nouveau-galata-deluxe-suite-with-balcony.example.com,5,APARTMENT,72,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/images.trvl-media.com/lodging/13000000/12580000/12579100/12579094/8aa25aa5.jpg?impolicy=ccrop&w=1000&h=666&q=medium&w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,Air conditioning|Airport shuttle|Kid-friendly|Crib|Heating|Ironing board|Kitchen|Smoke-free,A 5-star vacation rental in Istanbul with easy access to the city's top attractions.
Radisson Hotel Istanbul Sultanahmet,"Grand Bazaar, Istanbul",Istanbul,Turkey,+1 000-555-1012,reservations@radisson-hotel-istanbul-sultanahmet.example.com,4,HOTEL,97,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHDAlo0Jj3qoxRKq6CmbEt3kjP6aY-Be3mncSSIoY1J10dGLyuweFSkpdA4NIB4SeUw7Vmn6PoKIjq_em5Yeq7aHDYXDvgJwmTYqF6XVyKIbfv5gRsSf69NIjYoEX5S8vXAri3z42ZPnpI=s10000,Free breakfast|Free Wi-Fi|Free parking|Air conditioning|Bar|Restaurant|Room service|Airport shuttle,"Low-key quarters in a relaxed hotel offering a quaint restaurant, plus a casual cafe with sea views."
Ramada By Wyndham Istanbul Pera,"Dolmabahçe Palace, Istanbul",Istanbul,Turkey,+1 000-555-1013,reservations@ramada-by-wyndham-istanbul-pera.example.com,5,HOTEL,76,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFNJfnzKgB4e0-qbfidX_4yoffKVqtPomJcR-9ztM-mYbwfZS9pb_dspTkhkyXgzbOIUKFtHirgeHKQncKcD2lACHzga_FvLOPTWkBZbBS1VWxOvklmSQO8QRahNfU8EPY3VHaP=s10000,Free breakfast|Free Wi-Fi|Parking|Hot tub|Air conditioning|Pet-friendly|Fitness center|Spa,"Laid-back rooms in a city center hotel featuring 2 eateries, a gym & a wellness area."
MENAR HOTELSUITES -Old City Sultanahmet - Junior Suite with Balcony and Sea View,"Istanbul Airport, Istanbul",Istanbul,Turkey,+1 000-555-1014,reservations@menar-hotelsuites-old-city-sultanahmet-junior-suite-with-balcony-and-sea-view.example.com,5,APARTMENT,99,https://static.cupid.travel/hotels/318517331.jpg,Air conditioning|Airport shuttle|Kid-friendly|Crib|Elevator|Fitness center|Heating|Indoor pool,A 5-star vacation rental in Istanbul with easy access to the city's top attractions.
Sura Hagia Sophia Hotel İstanbul,"Basilica Cistern, Istanbul",Istanbul,Turkey,+1 000-555-1015,reservations@sura-hagia-sophia-hotel-i-stanbul.example.com,5,HOTEL,134,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFk2fSnDqf0Gq93i3r2gsTiSZFVauNd_QQFoJ3-d_oB5fyomgZYK1ANZGfi53jXJLcb3P1IMfiMAFE0tr23-qUBtklPkx1dfLeoBrQCNhB4FVV6EG-6R27aQ2fCpO61kb8PHp-gVA=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Hot tub|Air conditioning|Fitness center|Spa,"Sophisticated hotel featuring breakfast & Wi-Fi, plus a spa, an outdoor pool & gardens."
Legacy Ottoman Hotel,"Egyptian Bazaar, Istanbul",Istanbul,Turkey,+1 000-555-1016,reservations@legacy-ottoman-hotel.example.com,5,HOTEL,88,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGwzYRArr4QtGkPkb8tPb2ac54dDxjLDk6xNMoEmhc2dDVrghSTJRjMVV1GT3gcIm7tJJh5duEZmTPV1Je8I8TVeo9HrwGbi7IMIIruUPZ6W6Eh1zJf_FY4Mxx4sDZZnjGloVsMMQ=s10000,Free breakfast|Free Wi-Fi|Parking|Indoor pool|Hot tub|Air conditioning|Fitness center|Spa,"Elegant quarters in a regal hotel offering a rooftop restaurant & bar, a cozy cafe & a spa."
Four Seasons Hotel Istanbul At Sultanahmet,"Hagia Sophia Grand Mosque, Istanbul",Istanbul,Turkey,+1 000-555-1017,reservations@four-seasons-hotel-istanbul-at-sultanahmet.example.com,5,HOTEL,568,https://photos.hotelbeds.com/giata/original/08/083372/083372a_hb_r_001.jpg,Breakfast ($)|Free Wi-Fi|Free parking|Air conditioning|Pet-friendly|Fitness center|Spa|Bar,"Neoclassical lodging & a spa set in an former jail with elegant dining, a rooftop lounge & a spa."
AJWA Sultanahmet,"Grand Bazaar, Istanbul",Istanbul,Turkey,+1 000-555-1018,reservations@ajwa-sultanahmet.example.com,5,HOTEL,320,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFPZAGnpzVtbK1jbp_RPW0m9LLApK0gZOyP3grSdYz9B6kaSSIMMwSafzAa-t_sVIp2_qfgEpMyedjK-bs-R5YxxNCRFYVNBpz-PRTJxZ3i1uaUUOFkDGPVJQOqV0WBn-eRSXoCyEqN-sA=s10000,Free breakfast|Free Wi-Fi|Parking|Hot tub|Air conditioning|Fitness center|Spa|Bar,Ornate rooms & suites in a luxury hotel offering a sophisticated restaurant & a spa.
Antea Hotel Oldcity,"Sultanahmet Square, Istanbul",Istanbul,Turkey,+1 000-555-1019,reservations@antea-hotel-oldcity.example.com,4,HOTEL,58,https://images.trvl-media.com/lodging/1000000/890000/889500/889460/21bb9b40_z.jpg,Free breakfast|Free Wi-Fi|Indoor pool|Hot tub|Air conditioning|Pet-friendly|Fitness center|Spa,"Warm rooms in a low-key hotel with a stylish bar & lounge, plus a restaurant & an indoor pool."
Han 1772 Hotel,"Egyptian Bazaar, Istanbul",Istanbul,Turkey,+1 000-555-1020,reservations@han-1772-hotel.example.com,5,HOTEL,88,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGfaXrt-CSRRYg6hTg4LIHi13Erhqk16Sc0lvca2YvzRLXi3Vy-oV34tjfvVrx6Ume9qMF1ZcZ3ky5nwSsCdnhAx2lzcnMWGTFR659VwGae9kLQxysAHCO9CXnmX16qSHZ7tQ1a=s10000,Free breakfast|Free Wi-Fi|Parking|Air conditioning|Bar|Restaurant|Full-service laundry,A 5-star hotel in Istanbul with easy access to the city's top attractions.
Atlantis - The Palm,"Dubai International Airport, Dubai",Dubai,UAE,+1 000-555-1021,reservations@atlantis-the-palm.example.com,5,HOTEL,286,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0FX29UqmFt9IVc7xWuB6JYwW0oWcQBam2EfCqapFWS8mQ1zopamZ7Eka7W6aAI-9yCupLvxpfPOrSlNeC4MNscGIpe12uwTkG3dsJxAEVI8HcM4iRk_MG-HVnrIN6gqj9Ddth=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Hot tub|Air conditioning|Fitness center|Spa,"Luxury resort offering a water park & an aquarium, plus a spa & multiple upscale restaurants."
JW Marriott Marquis Hotel Dubai,"Burj Khalifa, Dubai",Dubai,UAE,+1 000-555-1022,reservations@jw-marriott-marquis-hotel-dubai.example.com,5,HOTEL,113,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEcR0XogBmvpzzI0prXO0hQxjYwSNR4AvObZHsm53LjOC5uJibCDUxy3rYlvcN7kuEbsYBG5jLy4e-6rPV0qQvD7nh_0EWxehWcDlWBH8elmzPkz7AXiOWzRVt7MiLnsMT_W0NYXA=s10000,Breakfast ($)|Free Wi-Fi|Parking ($)|Outdoor pool|Air conditioning|Fitness center|Spa|Bar,"Refined high-rise hotel offering polished quarters, a nightclub & a spa, plus 14 restaurants & bars."
Jumeirah Beach Hotel,"Wild Wadi Waterpark Jumeirah, Dubai",Dubai,UAE,+1 000-555-1023,reservations@jumeirah-beach-hotel.example.com,5,HOTEL,315,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFIKnP8OzMyOwqzdmRsAup-93qTtr-kyhtlynrbC4X9jVLuEteusEJ4yqEhOSGgY_HJL0-cVCMilt_CKWsnnvqp5THo5hMo6LBu-hn0errl_NFg0EfDQ4vQ3Ia5_-D13Ysbbf0-9xDMyH3_=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Fitness center|Spa|Beach access,"Upscale beachfront property with 5 pools, a diving centre & a spa, plus 9 restaurants."
Rove Expo City,"Expo 2020 Metro Station 2, Dubai",Dubai,UAE,+1 000-555-1024,reservations@rove-expo-city.example.com,3,HOTEL,32,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsu4DwzHWirJcspirUPnfAchoQ-h55sHgXKXOxUPq5xkJyXQAAXEEqLZVmbgxaorOBHLd0foEtyJNlRb38_CyX3dn4_VZ1WqyO8q1zb2xI0qRSST2p8JlfxwL_KHTxeVDpZqmJ=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Fitness center|Bar|Restaurant,"Chic quarters in a contemporary hotel offering a 24/7 gym, an outdoor pool & breakfast."
Waldorf Astoria Dubai Palm Jumeirah,"Aquaventure World, Dubai",Dubai,UAE,+1 000-555-1025,reservations@waldorf-astoria-dubai-palm-jumeirah.example.com,5,HOTEL,139,https://photos.hotelbeds.com/giata/original/23/235328/235328a_hb_w_025.jpg,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Hot tub|Air conditioning|Fitness center|Spa,"Chic rooms in a ritzy hotel offering 2 outdoor pools, a private beach & dining, plus a spa."
FIVE Jumeirah Village Hotel,"JVC, Samer Park, Dubai",Dubai,UAE,+1 000-555-1026,reservations@five-jumeirah-village-hotel.example.com,5,HOTEL,58,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF7UDjMHvKMtR_o-gMerHG4aPoamUKmViEpjtz1ceC3ZGv3KTd_9b20RcBCSTgBcqfzGksIjciiDUk2CO1Sw6Y0Nenfkvy_EHTBZkgB7xX-vU-At9WrPgxfJpLmViCPS8_1XdxhJg=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Hot tub|Air conditioning|Fitness center|Spa,"Chic hotel in a 60-storey tower offering eclectic street food dining, plus a spa & an outdoor pool."
Emirates Grand Hotel,"Dubai Mall, Dubai",Dubai,UAE,+1 000-555-1027,reservations@emirates-grand-hotel.example.com,4,HOTEL,35,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHYMZo4KtjGi_Dherp8t7Jjke8zkp3T6LjUkDa3sOcPToIEBhYQmoLZsJJ6BWs960JAJ0KKUVSLUwcPoRUcqYxmQhm41KbiJAwsmeHks141F22DIPqfbPkyDSVFBV5zq5AXSRjvoNkSjOQT=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Indoor pool|Hot tub|Air conditioning|Fitness center|Spa,"Casual apartment hotel featuring a restaurant with city views, plus a gym, a sauna & an indoor pool."
Pullman Dubai Downtown,"Dubai Mall, Dubai",Dubai,UAE,+1 000-555-1028,reservations@pullman-dubai-downtown.example.com,5,HOTEL,73,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFvmzSD7mv2NkS5YqeMP73pZGu4EIlZD1KtcMcv6ZD1dKs1z9AU5h6xLm-Xy4uSOD8oPpgp4Wa2MCtl2PP3FxoTgFIhr6XDfjcxlePmcNzINXA1xLBBP4Y1p6dWNQOrd9Z-ZEI7Hg=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Hot tub|Air conditioning|Fitness center|Spa,"Refined quarters in an upscale hotel featuring a restaurant, a pool & a poolside bar, plus a spa."
Sofitel Dubai The Palm,"Aquaventure World, Dubai",Dubai,UAE,+1 000-555-1029,reservations@sofitel-dubai-the-palm.example.com,5,HOTEL,114,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDFefpDrIWbwDcyOYrwZnIopk6r4CJaBhO_CPznN9a1AhE16HVlHA3WHM7Uw2NGfy2UebXiwtFTezJAhZXiptWIXMNXvZSF7AJmF9s2cfiE3au49HE5yeG6EpRByLTwm3VLNU=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Pools|Hot tub|Air conditioning|Fitness center|Spa,"Refined quarters in a chic resort offering 11 restaurants & bars, 6 pools & a spa."
Taj Jumeirah Lakes Towers,"JLT, Jumeirah Bay X1 Tower, Dubai",Dubai,UAE,+1 000-555-1030,reservations@taj-jumeirah-lakes-towers.example.com,5,HOTEL,88,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGeD4rzxviKAq61l2BFWOM5oao-Bca20HOQQYf_NYC-Tt19QTSAz5eK2UUjMazqnhLXer83iOQ-Tr6IyaWxOHXf_6I5Azk3OLWQXVQj85eUwBIsQmHtxyoJQri2K4cTd36P9AjA=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Fitness center|Spa|Bar,"Upmarket hotel offering polished restaurants & a rooftop pool, plus a 24-hour gym."
AJIRA Bay Hotel Hurghada Marina,"Mosque El Mina El Kabeer, Hurghada",Hurghada,Egypt,+1 000-555-1031,reservations@ajira-bay-hotel-hurghada-marina.example.com,4,HOTEL,65,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFVwzobgIzVELyqROEoQeUMrl0QlrvdOqSmOqmLmIH4d4UpQ57-u9WjnL57pdy450xoDt_dyZckUybOrDS0uXzQ9bMNWGnPwsjw1w3wK29OCzUdiahcKEXizgVO61Wju-O2UHOtOtp8w3Ns=s10000,Breakfast|Free Wi-Fi|Free parking|Outdoor pool|Restaurant|Room service|Full-service laundry|Accessible,A 4-star hotel in Hurghada with easy access to the city's top attractions.
Meraki Resort Adults Only,"Hurghada International Airport, Hurghada",Hurghada,Egypt,+1 000-555-1032,reservations@meraki-resort-adults-only.example.com,4,HOTEL,224,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFvzkfG1kxErxidwoHIs6V-GH9KjlqVeB9aYYkUslaBvCdM5TfrFYsPsEBKJ8k3zGhZRQNaCU1mO_w0PYI8KYA6f31TDRvTQqH11xnIaGw4csbX_PSlt4mR8cy3sJfU7_4Zu2o=s10000,Free breakfast|Free Wi-Fi|Free parking|Outdoor pool|Hot tub|Air conditioning|Fitness center|All inclusive available,"Lively adults-only, all-inclusive beach resort offering 4 trendy clubs & an outdoor pool."
Hurghada Marriott Beach Resort,"Old Vic Beach Hurghada, Hurghada",Hurghada,Egypt,+1 000-555-1033,reservations@hurghada-marriott-beach-resort.example.com,5,HOTEL,121,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHJXsLKO2QSaIojKMp7DYVmKAItFHf1-j6ej06m6JDalMZRwsj3e7XnJogc0xxax2DJZoVEYTfqBivVaggi0yPOkOZsxHLyssJZBza-KyKK1d5tg9B2NdttpmnH4YomgpTNCOfGQh8WESHJ=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Fitness center|All inclusive available|Spa,"Upscale quarters in a chic beachfront hotel with 8 restaurants, an outdoor pool & a diving center."
The Grand Palace Hotel,"Hurghada Museum, Hurghada",Hurghada,Egypt,+1 000-555-1034,reservations@the-grand-palace-hotel.example.com,5,HOTEL,176,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGZOJrD2g319TbCvokoQF67buo11LfH9B7eXn4jhQ8J1OKn_1GHY9h9up0wzknqpuSWuQCNWLLt7EM_Mq33dXEi1J1nJXjqVQTjJoA2nDHKkmNg0PT3M4oV5FgW1r00FduE0-lD-Q=s10000,Free breakfast|Wi-Fi|Parking|Pool|Air conditioning|Fitness center|All inclusive available|Spa,A 5-star hotel in Hurghada with easy access to the city's top attractions.
Arabia Sea View,"Hurghada, Egypt",Hurghada,Egypt,+1 000-555-1035,reservations@arabia-sea-view.example.com,5,APARTMENT,35,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzAljNZDeJO4pb4hGFnb1hr6mGsRWB1KxTTlAku6AS2U-tC0mTlpTLeFioQou6f-l8OXlmp9MGXqsfn65wyiapg2t6jx9-X_RZHRuRk81VQ==.jpg,Air conditioning|Elevator|Ironing board|Microwave|Oven stove|Pet-friendly|Smoke-free|Cable TV,A 5-star vacation rental in Hurghada with easy access to the city's top attractions.
Steigenberger Aqua Magic Hotel,"Hurghada Museum, Hurghada",Hurghada,Egypt,+1 000-555-1036,reservations@steigenberger-aqua-magic-hotel.example.com,5,HOTEL,174,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFHXcTSSSWxA7WrpMkucqZxO4mdqvgTatKFq-EN8bU6vGTzMflM0_3L3k1OiJoCTaSn12ErpLrSwCyGVE_DVlIruESYBWriyXDYd6bs0FlcDDA38HMf65OdxXqkI_S67EuUOaYWdUBtk6D6=s10000,Free breakfast|Free Wi-Fi|Free parking|Outdoor pool|Hot tub|Air conditioning|Fitness center|All inclusive available,"Refined resort with a water park, 5 restaurants & a dive center, plus a 9-hole golf course."
"The Oberoi Beach Resort, Sahl Hasheesh","Hurghada International Airport, Hurghada",Hurghada,Egypt,+1 000-555-1037,reservations@the-oberoi-beach-resort-sahl-hasheesh.example.com,5,HOTEL,311,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFBGczdk9Vv7hq6Ja4LvLFJ5l_JsJw-reqFiD1a_jmeRKRKrY3whIFmuCYB43I0IOov7V81IqPnMNgz8CPn7n8hqGT_uF9hW-MEBDjkQVFX0MRKGluezzafWxnVOM0U_IEUkX1rVQ=s10000,Free breakfast|Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Fitness center|All inclusive available|Spa,"Posh all-suite hotel with an outdoor pool, a spa & dining, plus a scuba dive center & private beach."
Pickalbatros Palace Resort - Hurghada,"Hurghada Grand Aquarium, Hurghada",Hurghada,Egypt,+1 000-555-1038,reservations@pickalbatros-palace-resort-hurghada.example.com,5,HOTEL,171,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGglyeYaCjsrkclpqiWvEE7KvwKrMf1CpoMGGsOJ-VeHfiqt2dB7kKz0E-NNrmTTA4uEChugnPCQ_AcGGqssSLTrZ4YvV4xItlSy1OjxupthBz9muzsSsNcNhb1pr7VLpQ7P_b0=s10000,Free breakfast|Free Wi-Fi|Free parking|Outdoor pool|Hot tub|Air conditioning|Fitness center|All inclusive available,"Upmarket all-inclusive resort by the sea featuring an outdoor pool & a spa, plus 6 restaurants."
The Chedi El Gouna,"Zeytouna Beach El Gouna, Hurghada",Hurghada,Egypt,+1 000-555-1039,reservations@the-chedi-el-gouna.example.com,5,HOTEL,288,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGEF1l4S9Sa-QLv743WEQc-IkI8m6MXVh-hEPFgWV2im4LiDxr9hHiSJu_hU_Q-mL227lzoSicWbozE1Iyy4GJIAXj5Dk2zuNccR17kcPUW4tkH80Wz4JkwR4YQyfqpiR_Q6XIBWw=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Fitness center|All inclusive available|Spa,A 5-star hotel in Hurghada with easy access to the city's top attractions.
Pickalbatros Blu Spa Resort - Hurghada,"Hurghada Museum, Hurghada",Hurghada,Egypt,+1 000-555-1040,reservations@pickalbatros-blu-spa-resort-hurghada.example.com,5,HOTEL,195,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF8mRFY288ERl9yzWQyFb-JfVGinZCwIGjnCebiKXhUPbshdC685E7xEIV2m76hQqcLvUvmnLAstdL8guxJGe9IjL5TNTEuwSYqytcvhcBS05YTwnmiwPQSegzMDvftGsNtPJ5v=s10000,Free breakfast|Free Wi-Fi|Free parking|Pool|Air conditioning|Fitness center|All inclusive available|Spa,A 5-star hotel in Hurghada with easy access to the city's top attractions.
Old Town- mimi cozy studio 70 SQM good for family - One-Bedroom Apartment,"Suvarnabhumi Airport, Bangkok",Bangkok,Thailand,+1 000-555-1041,reservations@old-town-mimi-cozy-studio-70-sqm-good-for-family-one-bedroom-apartment.example.com,5,APARTMENT,58,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/519247683.jpg?k=925056d466672972d9c6d30769777bbf7ee55682b9a86ed965896c37228212d0&o=&s=312x,Air conditioning|Ironing board|Kitchen|Microwave|Washer,A 5-star vacation rental in Bangkok with easy access to the city's top attractions.
JC Kevin Sathorn Bangkok Hotel,"Lumphini Park, Bangkok",Bangkok,Thailand,+1 000-555-1042,reservations@jc-kevin-sathorn-bangkok-hotel.example.com,5,HOTEL,43,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGsIbO84m-2BM9_OYUyTutSLhBfLNyHr3Ayr8xv3f3gtirwUhMJ3qEPcKNaS4fdX5as4L7g9gvT7LlXmgrX0QKSc2d9fx-_x6JXK941Io2XJ6wagws_bSwu07W40FPj3L118PHWmg=s10000,Breakfast|Free Wi-Fi|Free parking|Outdoor pool|Hot tub|Air conditioning|Fitness center|Spa,Sleek quarters with city views in a chic high-rise lodging with rooftop dining & an infinity pool.
Shangri-La Bangkok,"Asiatique The Riverfront, Bangkok",Bangkok,Thailand,+1 000-555-1043,reservations@shangri-la-bangkok.example.com,5,HOTEL,162,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEzFG1bWKYovXfsxB1QTOUHoIWbhMC2CfTM0s-05F__ibIZOlizmHfWbtfLdu2ybtLofUtqNHwly92yJwnV6oAaxSYdBrqLoRUc9RLSJvUa6z6Ksq6kFjfwN_ISwiv1ST25v3ZDXA=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Hot tub|Air conditioning|Fitness center|Spa,"Upscale riverfront hotel featuring 9 restaurants & bars, plus tennis, a spa & 2 outdoor pools."
